student_id,skills,experience_years,course_grades,projects_completed,extracurriculars,job_offer
81,C++,1,89.91,8,2,1
82,Java;Python,5,96.52,9,4,0
83,Data Analysis,3,90.2,9,0,1
84,SQL;C++,5,69.09,3,4,0
85,C++;Python,5,95.53,4,2,1
86,Data Analysis;Python;Machine Learning,3,75.5,4,4,1
87,Data Analysis;SQL,0,83.05,2,1,0
88,Java,5,93.26,1,2,1
89,Java,4,67.54,7,3,1
90,C++;Java;Data Analysis,4,91.38,6,0,1
91,SQL,1,83.85,4,3,0
92,Java;Python,4,95.73,0,4,0
93,Machine Learning;Python,1,66.88,9,3,0
94,Data Analysis,0,76.83,0,2,0
95,Python;Data Analysis;Java,3,93.31,7,1,0
96,C++,3,60.77,3,3,0
97,C++;Java,3,64.49,3,4,0
98,Python;Java,4,99.62,8,3,1
99,Python;C++,0,71.22,1,3,1
100,C++;SQL,4,99.02,4,2,0
101,Data Analysis;Machine Learning,4,67.3,5,4,1
102,Data Analysis;C++;Java,0,74.44,5,4,0
103,SQL,0,90.11,9,1,1
104,Python,0,86.31,2,2,0
105,Data Analysis;Machine Learning;Python,0,83.24,9,2,1
106,SQL;Python;Machine Learning,3,81.2,5,0,1
107,C++;Machine Learning;Java,2,93.74,9,1,1
108,Machine Learning,2,69.4,9,1,0
109,Java,0,77.7,4,4,0
110,Machine Learning,2,66.22,7,4,1
111,Data Analysis,2,83.84,3,1,1
112,C++,0,70.02,9,2,1
113,Machine Learning,2,73.35,9,0,0
114,Machine Learning,4,78.85,2,4,0
115,Python;Machine Learning;Data Analysis,1,61.07,5,0,0
116,Data Analysis;Machine Learning,1,63.68,9,1,0
117,Machine Learning;SQL;Data Analysis,0,87.44,8,2,1
118,Data Analysis,3,77.16,7,0,0
119,SQL;Java;Data Analysis,0,94.59,9,3,1
120,Java;SQL,3,87.79,7,1,1
121,SQL;Python,1,60.32,2,2,0
122,C++,0,84.67,0,1,0
123,Machine Learning;Python;Data Analysis,5,63.75,2,1,0
124,Java;Machine Learning;SQL,4,91.24,2,0,0
125,SQL,2,99.66,5,0,0
126,Java,3,81.25,2,3,1
127,SQL;Java,5,87.31,1,4,1
128,Machine Learning;SQL,2,69.49,8,3,0
129,Data Analysis;Machine Learning;Python,2,77.5,5,2,1
130,Machine Learning;SQL;Python,0,94.24,4,2,1
131,SQL,2,66.7,2,1,0
132,Python,4,70.62,6,0,1
133,Machine Learning;Java;SQL,5,77.82,6,1,1
134,Machine Learning;Java,2,88.49,3,4,1
135,SQL;Java;Data Analysis,0,75.04,9,1,0
136,C++;SQL;Python,4,97.11,1,2,0
137,Data Analysis,1,63.78,1,2,1
138,SQL;Python,5,74.83,7,3,0
139,SQL,2,88.36,3,1,1
140,Data Analysis,0,69.04,6,0,1
141,Java;C++,1,86.26,2,4,0
142,Data Analysis;C++;Python,1,66.57,8,4,0
143,Python,3,62.24,9,0,0
144,Java;Machine Learning;Python,4,64.84,8,4,1
145,Machine Learning;Data Analysis,2,97.2,6,0,0
146,C++,0,82.07,6,0,1
147,Python,3,91.85,0,3,0
148,SQL;Python,4,73.31,9,1,0
149,Java;Data Analysis,3,83.71,7,2,0
150,Python;SQL;C++,5,79.8,1,2,0
151,Data Analysis;Java;Machine Learning,4,97.83,7,1,1
152,Java,4,89.9,1,4,0
153,Python;Java,2,89.22,0,0,1
154,SQL;C++;Java,4,61.85,7,2,1
155,Java;Python,3,81.99,3,3,0
156,Python;C++,4,78.68,9,4,1
157,Java,2,97.11,5,3,1
158,SQL;Data Analysis,2,70.29,9,2,1
159,Java,5,70.79,9,1,0
160,Data Analysis,3,76.45,0,1,0
161,C++,1,69.73,8,3,0
162,SQL;Python,1,65.17,6,4,0
163,SQL;Machine Learning,4,94.3,4,2,1
164,Data Analysis;Machine Learning,5,82.33,5,0,1
165,Python;Data Analysis,0,94.45,2,1,0
166,Java;Machine Learning,4,93.25,8,3,1
167,Python;Data Analysis,5,71.28,1,2,1
168,C++;SQL;Machine Learning,3,81.91,9,4,1
169,Machine Learning;Data Analysis,3,63.33,0,0,0
170,C++,3,96.61,0,0,1
171,Java;SQL;Python,3,76.17,9,1,0
172,C++;Python;Java,3,75.75,1,0,0
173,C++;Python,5,72.11,5,2,1
174,SQL;Machine Learning;Data Analysis,5,78.43,5,1,1
175,Python;SQL;Machine Learning,2,70.07,8,1,1
176,C++;SQL;Data Analysis,1,74.99,9,1,1
177,SQL;Machine Learning;Java,3,92.0,3,2,1
178,C++,0,93.37,7,3,0
179,C++;Java;SQL,5,72.17,3,0,0
180,Machine Learning;Python,0,78.76,2,0,1
181,SQL;Java,0,94.95,3,3,0
182,Machine Learning;Data Analysis,0,62.11,0,1,0
183,SQL;C++;Machine Learning,2,95.57,8,4,0
184,Data Analysis;Java,5,68.77,4,2,1
185,C++;Java;Python,0,87.14,6,1,1
186,Machine Learning;Data Analysis,3,83.3,2,1,0
187,Python;Java,4,82.12,4,1,1
188,SQL;Java;Machine Learning,0,94.37,9,0,0
189,Python,2,64.06,3,0,0
190,Java,5,73.88,6,4,1
191,Machine Learning;Python,2,81.53,4,2,1
192,C++;Machine Learning,0,92.45,1,1,0
193,Data Analysis,5,68.66,2,0,0
194,C++;Data Analysis;Machine Learning,4,92.12,7,3,1
195,Java,0,75.99,2,0,1
196,Data Analysis;Python;Machine Learning,2,67.56,6,1,0
197,Java;Data Analysis,1,90.36,4,1,1
198,Machine Learning;C++;Python,3,63.64,6,0,1
199,Java;Python;C++,2,80.59,9,3,1
200,C++,5,62.56,8,3,0
201,Machine Learning;Data Analysis;SQL,0,74.26,6,1,1
202,Machine Learning;Data Analysis,3,84.04,5,0,0
203,Machine Learning;C++,0,82.24,0,2,1
204,Data Analysis,5,76.19,3,2,0
205,C++;SQL,0,77.16,7,1,0
206,Data Analysis,1,69.07,0,3,0
207,Machine Learning;C++,3,78.24,5,2,1
208,Java;SQL;C++,3,98.13,1,0,0
209,Data Analysis,5,94.02,8,4,1
210,Java;SQL,1,65.81,7,4,0
211,SQL;Machine Learning,2,61.19,8,3,0
212,Java,0,97.34,8,4,0
213,Java,4,81.07,1,0,0
214,Data Analysis;Java,0,81.51,1,1,0
215,Java;Python;C++,0,91.23,8,1,1
216,SQL;Machine Learning,2,72.59,1,0,1
217,C++;Python,0,79.28,3,1,0
218,C++,1,98.75,1,0,1
219,Machine Learning;Python,1,86.89,0,0,0
220,C++;Data Analysis;Python,3,66.15,9,4,1
221,SQL;C++,5,65.33,6,4,0
222,Machine Learning;Data Analysis,4,68.17,4,3,1
223,Java;C++;Data Analysis,0,90.67,2,4,1
224,C++;Data Analysis,0,71.82,7,1,1
225,C++,2,60.86,4,4,0
226,Data Analysis;C++,5,97.77,0,0,1
227,Java;C++;Data Analysis,1,66.79,8,4,1
228,Machine Learning;Python;C++,4,60.38,4,1,0
229,Machine Learning;Python;Data Analysis,3,69.49,2,3,1
230,C++;Java;Data Analysis,1,69.4,5,2,0
231,Python,5,76.88,7,0,1
232,C++;SQL,3,96.82,1,1,0
233,C++,2,95.17,2,1,0
234,SQL;C++,2,78.28,6,2,0
235,C++;SQL,0,76.44,1,3,0
236,C++,5,82.2,4,0,0
237,Data Analysis,4,69.74,8,3,0
238,Python;SQL;Java,3,62.09,6,2,0
239,Python;Data Analysis;Machine Learning,1,97.57,2,0,0
240,Java,5,67.47,1,4,1
241,Machine Learning,5,67.94,9,3,1
242,Java,2,78.9,8,4,1
243,C++,0,79.66,8,0,1
244,Python;Machine Learning;Java,0,60.74,8,2,0
245,Data Analysis;SQL,3,65.92,9,4,1
246,Java;Machine Learning,2,75.13,2,4,0
247,Data Analysis;Python;Java,5,87.35,0,1,1
248,Python;Machine Learning,4,69.14,8,0,0
249,SQL,2,76.92,6,2,0
250,Data Analysis;C++;Machine Learning,3,82.29,1,1,1
251,Java;Python;Data Analysis,3,95.54,5,3,0
252,Data Analysis,2,73.04,8,2,0
253,Data Analysis;Machine Learning,3,65.34,7,1,0
254,Machine Learning,2,79.57,5,3,1
255,SQL,1,89.87,5,2,1
256,C++;SQL;Python,2,64.39,7,1,1
257,Data Analysis;SQL;Python,2,76.99,8,2,1
258,C++;Python,3,60.71,7,4,1
259,SQL;C++,3,61.34,0,1,1
260,Java;C++;Data Analysis,0,79.32,1,4,0
261,Machine Learning;SQL;C++,0,71.93,5,1,1
262,C++;Machine Learning,1,93.8,7,4,1
263,SQL;Java,0,84.09,3,0,1
264,SQL,2,78.16,3,4,0
265,Java;C++,3,76.32,1,0,1
266,Machine Learning;C++;SQL,0,79.89,9,2,0
267,C++,0,61.62,0,3,0
268,Java;C++,1,95.71,9,3,0
269,SQL,5,99.93,8,3,0
270,SQL;Data Analysis,1,67.26,6,0,1
271,Data Analysis;SQL;Python,2,64.82,8,3,1
272,Java;Python;Data Analysis,3,65.74,1,3,1
273,C++;Data Analysis;Java,1,86.44,9,4,0
274,C++;Data Analysis;Machine Learning,0,86.46,4,3,0
275,Python,3,93.92,1,0,0
276,Java;C++,3,90.07,9,4,1
277,Java;SQL;Machine Learning,0,77.99,6,0,0
278,Machine Learning;Data Analysis,1,84.51,8,1,1
279,C++;Machine Learning,0,87.53,2,3,0
280,SQL;C++,5,80.51,0,0,1
281,SQL;Data Analysis,3,79.03,3,0,1
282,Python,4,85.8,3,4,0
283,Java;SQL;Python,4,82.3,5,1,1
284,Machine Learning;Java;Data Analysis,2,85.76,4,1,0
285,Data Analysis,0,84.51,4,3,1
286,SQL;Machine Learning,0,88.77,8,2,1
287,Machine Learning;SQL;Python,2,85.71,0,2,0
288,SQL,2,80.79,7,4,0
289,SQL,2,87.27,7,3,1
290,SQL,3,77.98,7,4,0
291,Data Analysis,5,69.67,2,3,1
292,Java;SQL;Python,0,60.06,9,1,1
293,Machine Learning,3,82.4,7,2,1
294,Data Analysis;Java,2,83.63,1,0,1
295,C++;Python;Machine Learning,0,98.88,7,2,1
296,SQL;C++;Machine Learning,3,74.46,7,3,1
297,SQL;Java,5,75.77,2,2,0
298,SQL,3,68.07,3,0,0
299,Python;Data Analysis,5,62.82,8,1,1
300,C++;Python,2,90.91,8,1,0
301,Data Analysis;Python;Java,5,69.99,9,3,1
302,Machine Learning,0,84.36,8,2,1
303,Python;Java,2,87.51,9,3,0
304,Machine Learning,0,78.85,5,2,0
305,Machine Learning;Data Analysis,4,95.05,0,4,0
306,Java;Machine Learning;C++,1,77.75,7,3,0
307,C++;SQL,5,71.4,8,2,0
308,C++;SQL;Python,1,95.84,7,4,1
309,Data Analysis;Python;Java,1,94.46,0,3,1
310,Java;SQL;Python,5,66.56,5,1,0
311,Java,2,61.04,8,4,0
312,Machine Learning,4,63.6,8,3,0
313,Java,0,71.46,6,0,0
314,C++,3,98.89,6,1,1
315,Data Analysis;Machine Learning,0,82.34,3,4,0
316,SQL;Python,3,74.93,6,2,0
317,SQL,0,95.55,9,0,1
318,SQL;C++;Python,5,78.13,4,2,0
319,Java;SQL;Data Analysis,4,72.61,9,0,0
320,Python;Machine Learning,3,97.65,4,3,0
321,Data Analysis,2,93.98,0,3,1
322,SQL,0,93.75,1,2,1
323,Python,0,80.49,8,2,0
324,Java,3,91.58,1,2,1
325,Machine Learning;Data Analysis,2,67.17,9,4,1
326,C++;Python,2,82.93,1,1,1
327,Data Analysis;SQL,5,99.35,8,2,1
328,C++;SQL;Data Analysis,5,71.64,2,3,0
329,Python;Machine Learning,5,91.77,1,3,1
330,C++,5,79.62,6,2,1
331,SQL;Machine Learning;Data Analysis,5,61.59,8,2,1
332,Python,5,90.52,5,3,1
333,Data Analysis,4,66.74,6,4,1
334,Machine Learning;Python;SQL,2,85.26,2,0,1
335,Python;Java;C++,5,63.43,2,3,0
336,Data Analysis;C++;SQL,2,97.87,7,0,0
337,Machine Learning,2,71.67,6,2,0
338,Data Analysis;C++,1,69.06,4,1,0
339,C++,4,65.17,5,2,0
340,C++;SQL,5,97.84,8,2,0
341,Data Analysis;Python,0,88.48,2,2,1
342,SQL,3,89.67,2,3,0
343,Data Analysis;C++,0,79.98,5,3,0
344,Data Analysis;C++,4,78.99,7,1,1
345,Python;C++;Data Analysis,3,64.4,4,0,1
346,SQL;Data Analysis,4,82.39,0,0,1
347,C++,2,69.88,2,0,1
348,Python;Machine Learning;C++,3,99.09,7,2,1
349,Python;Java,2,91.86,3,1,1
350,SQL;Machine Learning;C++,0,76.52,8,2,0
351,C++;Python;Java,0,66.05,5,1,0
352,Machine Learning;Java,3,91.41,9,4,1
353,C++;Data Analysis,3,64.88,3,3,1
354,Python,5,67.57,3,2,1
355,Machine Learning;Java;Data Analysis,4,68.46,9,4,0
356,Machine Learning;Python,5,82.28,4,0,1
357,C++;Python;Java,4,91.48,6,4,1
358,C++,5,72.57,6,3,1
359,Data Analysis,2,63.39,9,3,0
360,C++,3,78.58,6,3,0
361,SQL;Machine Learning;Data Analysis,0,89.92,4,4,1
362,C++;Data Analysis,4,68.87,8,0,0
363,C++,4,68.8,1,2,1
364,Java;C++;Data Analysis,0,97.89,7,0,1
365,Machine Learning;Java;Python,5,98.17,9,1,1
366,C++;SQL,4,99.62,7,1,0
367,SQL;Python;Data Analysis,2,92.31,2,2,1
368,SQL;Machine Learning;C++,3,67.53,4,3,0
369,C++,0,68.48,7,2,1
370,C++;SQL;Machine Learning,3,73.61,9,4,0
371,Machine Learning;C++;Data Analysis,4,72.73,8,3,0
372,Java;Data Analysis,4,98.26,6,2,1
373,C++;Java;Data Analysis,0,91.56,3,2,1
374,SQL,2,88.96,3,4,0
375,C++;Data Analysis;Machine Learning,1,67.44,2,4,0
376,Data Analysis;Java;C++,0,96.38,7,0,0
377,Java,1,93.11,5,1,1
378,Machine Learning;SQL;Python,5,66.55,9,2,1
379,Python;Machine Learning,1,94.85,5,0,0
380,Python;Java,2,70.89,9,3,1
381,Data Analysis;Java,5,63.23,9,3,0
382,C++,1,86.27,8,1,0
383,SQL;Machine Learning,5,86.15,2,3,1
384,C++;Python;SQL,1,63.8,3,1,1
385,Machine Learning;C++;SQL,2,72.75,2,3,1
386,Data Analysis;C++;Python,1,99.71,2,3,0
387,Python;Java;SQL,1,87.14,0,2,1
388,Data Analysis,1,89.2,9,4,0
389,C++,0,68.52,5,2,0
390,Data Analysis,0,63.15,8,0,1
391,Python;C++;Java,0,71.08,4,4,1
392,SQL;Python;Machine Learning,2,69.96,9,2,1
393,Python;SQL,5,69.38,1,4,0
394,SQL;C++,4,67.71,9,4,1
395,Java,1,82.99,3,4,0
396,C++;Machine Learning;Java,1,73.12,5,3,0
397,Java,2,92.81,6,4,0
398,Machine Learning,1,67.36,6,3,1
399,Machine Learning;Java,0,78.59,3,4,1
400,Machine Learning;Java,4,60.55,9,3,1
401,C++,3,79.27,9,4,0
402,SQL;C++;Data Analysis,1,62.23,4,0,0
403,Python;C++;SQL,0,99.11,3,2,0
404,Machine Learning;Java;Python,3,91.62,9,4,1
405,SQL;Machine Learning,4,79.6,5,0,1
406,Data Analysis;C++,3,63.46,6,2,0
407,SQL;C++;Data Analysis,0,83.7,1,1,0
408,C++,5,90.35,9,4,0
409,Python;Java,5,67.63,2,1,0
410,Machine Learning;SQL,3,82.73,7,2,0
411,SQL;Data Analysis;Python,2,92.57,6,2,0
412,C++;SQL;Python,3,90.73,0,4,1
413,Data Analysis;Python;C++,1,92.12,3,0,0
414,Java;Machine Learning,1,95.17,4,4,1
415,Java;Data Analysis,5,97.51,2,0,0
416,SQL;Java;Python,2,76.22,3,4,0
417,Data Analysis;Python;SQL,0,82.75,9,0,1
418,Python;Machine Learning,1,91.63,9,3,1
419,Data Analysis;Java,5,87.89,9,0,1
420,SQL,4,99.82,6,0,1
421,Data Analysis;C++,5,60.55,7,2,0
422,Java,1,74.21,8,1,0
423,Machine Learning,1,71.24,1,4,0
424,Machine Learning;Data Analysis,5,70.49,3,2,0
425,Java;SQL,0,68.9,0,1,1
426,SQL;Data Analysis,3,88.36,2,2,0
427,C++,1,63.39,7,2,1
428,Java,5,89.66,6,4,0
429,Data Analysis,5,87.74,7,3,0
430,Data Analysis;C++;SQL,2,70.03,5,2,1
431,C++,3,70.11,4,4,0
432,SQL,4,85.15,9,0,0
433,Python;C++;SQL,0,90.49,8,1,1
434,Data Analysis;SQL;C++,4,95.06,4,4,0
435,SQL;Python;Java,3,94.09,8,3,0
436,Python;Machine Learning,3,98.6,3,4,0
437,SQL;Machine Learning;Java,3,83.26,4,4,1
438,Python;C++;SQL,4,96.35,0,0,1
439,C++;Python;Java,3,92.34,5,1,0
440,Python,5,95.79,2,1,0
441,C++;Python,4,60.47,9,3,0
442,Java,3,98.64,1,1,0
443,Java;C++;Machine Learning,5,78.94,5,0,1
444,Data Analysis;Machine Learning,2,91.93,0,3,1
445,Machine Learning;Java,3,65.09,8,0,1
446,Data Analysis;Python,4,75.84,4,0,0
447,Machine Learning;C++,1,70.86,6,4,1
448,Python;SQL,3,71.67,9,4,1
449,C++,1,64.93,8,4,0
450,Java;SQL,5,92.23,8,2,1
451,Data Analysis,2,60.37,6,0,0
452,Machine Learning;SQL,0,72.5,3,1,0
453,C++,2,66.98,3,3,0
454,Java;Python,3,83.56,6,2,1
455,Python;Java,1,70.17,7,4,1
456,Data Analysis;Machine Learning;Python,1,70.36,6,2,0
457,SQL,4,79.53,9,2,1
458,Java,1,86.11,3,0,1
459,Java;Python;Data Analysis,4,64.85,3,0,0
460,Java;Data Analysis;SQL,5,67.02,7,1,1
461,Machine Learning,0,69.89,8,3,1
462,SQL,3,98.95,6,3,0
463,Java,4,75.89,2,4,0
464,SQL;Java;Python,0,83.96,9,1,1
465,Python;Java;Data Analysis,1,69.66,0,3,0
466,Java;Machine Learning,1,79.62,4,2,0
467,Python;Java,0,62.96,5,2,0
468,Python;Java,1,61.39,8,3,1
469,C++;Machine Learning;Python,5,78.75,4,2,0
470,Python;C++;Machine Learning,5,75.95,0,2,0
471,Machine Learning;Data Analysis,0,65.48,3,4,1
472,C++,4,87.5,1,2,1
473,Java;Machine Learning;Python,4,99.72,3,3,1
474,Data Analysis;Machine Learning;SQL,0,75.83,6,0,1
475,Data Analysis;Python,4,84.98,8,2,0
476,C++,4,98.52,2,3,1
477,C++;Python,5,93.26,2,2,0
478,Data Analysis;C++,4,78.54,3,1,0
479,Python,2,89.5,6,4,1
480,Machine Learning;Java,3,65.13,5,0,1
481,Java,1,80.48,4,2,1
482,Machine Learning;Data Analysis,2,71.16,3,3,0
483,Data Analysis;SQL;C++,4,66.45,7,0,0
484,Machine Learning;SQL;C++,5,77.05,3,2,1
485,Machine Learning;C++;Python,0,65.24,2,1,0
486,Python;Machine Learning;Java,4,87.96,6,3,0
487,C++;Java,5,78.25,1,4,1
488,SQL;C++,3,81.25,3,2,1
489,C++;Python,4,65.86,7,3,1
490,C++;SQL,0,65.59,3,2,1
491,SQL;Data Analysis;Java,5,83.34,9,4,0
492,C++;Python;Machine Learning,5,99.4,6,1,1
493,Python,5,63.85,1,4,1
494,Python;SQL,3,71.43,4,4,0
495,Machine Learning,4,94.78,3,4,1
496,Machine Learning,3,62.89,8,0,0
497,Machine Learning;SQL;Python,1,95.04,6,3,0
498,SQL;C++,1,80.97,8,2,0
499,Python;SQL;Machine Learning,4,76.33,9,1,0
500,Python;Machine Learning,3,72.39,6,2,1
501,Java;Data Analysis;C++,0,71.88,1,0,0
502,Python,5,72.23,1,1,1
503,Machine Learning;SQL,5,95.39,1,0,0
504,SQL,4,88.95,4,2,0
505,Java;C++;Python,1,86.79,0,1,1
506,Data Analysis;SQL;Python,1,91.95,6,2,0
507,SQL,5,70.28,1,3,1
508,SQL;Data Analysis;Machine Learning,4,84.72,3,0,0
509,Java,3,78.4,8,3,0
510,Machine Learning,1,91.3,7,3,0
511,C++;Python;Java,3,72.37,9,2,0
512,Data Analysis;Python;Machine Learning,1,85.73,1,2,1
513,Machine Learning;Java;C++,1,95.29,3,4,1
514,C++;SQL,2,76.09,3,4,0
515,SQL,1,62.66,1,1,1
516,Data Analysis;SQL,0,80.64,1,2,1
517,Machine Learning;Python;Data Analysis,4,73.84,4,0,0
518,Java,4,86.89,3,2,1
519,Python;Data Analysis;SQL,3,98.04,7,2,0
520,Data Analysis;C++,1,79.42,3,3,1
521,Machine Learning;C++,0,78.65,7,3,0
522,SQL;Java,3,86.18,4,4,1
523,Python;SQL;C++,2,64.14,0,1,0
524,SQL,3,70.14,8,1,1
525,Data Analysis;Machine Learning;C++,3,96.76,7,2,1
526,Data Analysis;SQL;Python,1,86.8,0,0,1
527,C++,2,60.54,2,3,1
528,Python;Data Analysis;Java,3,68.19,2,0,0
529,Java;Data Analysis,0,87.31,4,3,1
530,SQL;Data Analysis,0,90.58,6,2,0
531,Python,4,93.59,0,1,1
532,Data Analysis;C++,2,71.69,0,2,1
533,Java,2,97.24,9,3,1
534,Machine Learning;Java,4,82.12,5,1,1
535,Machine Learning;SQL;Python,3,87.86,4,0,0
536,Data Analysis;Python,2,83.87,2,0,0
537,Python;C++,0,64.91,2,4,1
538,SQL,0,98.52,3,0,1
539,C++;Machine Learning;Data Analysis,1,64.92,9,4,0
540,Data Analysis;C++;SQL,2,70.2,1,1,1
541,C++,3,92.55,8,2,1
542,SQL,4,84.74,3,2,1
543,Machine Learning,4,93.53,9,1,0
544,Data Analysis;SQL,3,80.63,2,1,0
545,C++,5,75.08,9,3,0
546,Java,1,96.87,6,0,1
547,Machine Learning;C++,4,61.45,8,0,0
548,Python;C++;SQL,2,94.25,1,0,1
549,SQL;Java;Data Analysis,1,69.23,5,4,0
550,Python,2,93.95,4,0,0
551,Data Analysis;Python;Java,0,65.57,0,3,1
552,SQL;Java,1,83.21,6,2,1
553,Python,4,95.52,0,2,0
554,SQL,1,78.94,9,4,0
555,Java,1,89.86,8,3,0
556,Java;Python;Data Analysis,1,92.19,3,1,0
557,C++;Data Analysis;Machine Learning,5,89.46,7,2,1
558,Machine Learning;Data Analysis;SQL,1,97.01,0,3,1
559,SQL;Java;C++,2,77.87,4,1,0
560,C++,0,66.93,2,4,0
561,Data Analysis;SQL,3,61.91,3,0,1
562,Machine Learning;Python,1,69.86,3,3,0
563,Machine Learning;Python,4,65.73,7,2,0
564,C++;Data Analysis,1,82.32,9,4,1
565,Python,4,67.4,9,3,0
566,SQL;Python,2,61.56,2,4,0
567,Python;Machine Learning;C++,4,61.44,0,1,1
568,Machine Learning;Data Analysis,3,93.26,4,3,1
569,Python;C++;Java,0,83.66,1,0,1
570,Machine Learning;C++,4,74.32,5,1,1
571,Java;Python;C++,4,95.77,3,0,1
572,SQL,0,62.81,8,4,1
573,Python;Machine Learning;Java,3,99.21,6,0,1
574,Java,1,84.65,1,1,0
575,C++;Data Analysis;Java,4,67.34,6,1,1
576,SQL;Data Analysis,0,87.16,9,1,1
577,C++;SQL,2,90.54,7,4,1
578,Machine Learning;Python;SQL,0,77.17,2,2,1
579,SQL,2,94.47,2,4,1
580,Machine Learning,3,66.03,1,1,1
581,C++;SQL;Machine Learning,1,71.15,0,4,0
582,Data Analysis;Machine Learning;Java,0,63.74,2,3,1
583,Python;Machine Learning,5,68.44,9,3,0
584,Java;SQL;Machine Learning,4,69.55,6,2,1
585,Data Analysis;C++;Java,3,96.71,8,4,0
586,Data Analysis;Python;SQL,0,63.12,8,4,0
587,C++;SQL;Java,4,77.1,5,3,0
588,Data Analysis;Machine Learning;Python,0,81.3,5,1,1
589,Data Analysis;C++;SQL,2,95.95,4,0,0
590,SQL,0,99.91,1,1,0
591,Java;Data Analysis,5,90.14,6,2,1
592,C++;Java,0,98.83,0,0,1
593,Java,0,91.48,5,1,1
594,Python,5,98.53,3,4,0
595,Python;Machine Learning,3,88.29,2,4,1
596,Data Analysis;Machine Learning;Python,0,63.19,0,3,0
597,SQL;Machine Learning;Java,5,76.08,5,4,0
598,C++;Java;Machine Learning,4,85.86,6,4,1
599,Data Analysis,2,74.03,0,2,1
600,Java;C++;Python,2,70.94,0,0,0
601,SQL;Java,0,83.1,6,1,0
602,Machine Learning;SQL,3,97.34,5,1,1
603,C++;Java;Machine Learning,3,61.4,6,2,0
